Tarih,MGM_Gerçek,AgroFrost_Tahmin,Durum
08-01-2015,-11.0°C,-11.5°C,✅ DOĞRULANDI
09-01-2015,-17.0°C,-14.9°C,✅ DOĞRULANDI
10-01-2015,-16.9°C,-16.9°C,✅ DOĞRULANDI
12-01-2015,-9.0°C,-10.3°C,✅ DOĞRULANDI
14-01-2015,-4.7°C,-3.5°C,✅ DOĞRULANDI
15-01-2015,-3.7°C,-6.6°C,✅ DOĞRULANDI
17-01-2015,-1.1°C,-3.8°C,✅ DOĞRULANDI
18-01-2015,-2.0°C,-4.2°C,✅ DOĞRULANDI
19-01-2015,-3.0°C,-5.3°C,✅ DOĞRULANDI
20-01-2015,-5.1°C,-5.4°C,✅ DOĞRULANDI
22-01-2015,-4.1°C,-2.2°C,✅ DOĞRULANDI
23-01-2015,-2.4°C,-3.4°C,✅ DOĞRULANDI
24-01-2015,-2.7°C,-3.8°C,✅ DOĞRULANDI
27-01-2015,-2.8°C,-1.3°C,✅ DOĞRULANDI
29-01-2015,-2.3°C,-2.5°C,✅ DOĞRULANDI
05-02-2015,-1.1°C,-2.4°C,✅ DOĞRULANDI
06-02-2015,-3.1°C,-1.4°C,✅ DOĞRULANDI
08-02-2015,-0.6°C,-1.5°C,✅ DOĞRULANDI
09-02-2015,-0.5°C,-3.1°C,✅ DOĞRULANDI
11-02-2015,-1.4°C,-3.6°C,✅ DOĞRULANDI
14-02-2015,-1.0°C,-3.4°C,✅ DOĞRULANDI
15-02-2015,-1.7°C,-3.9°C,✅ DOĞRULANDI
17-02-2015,-4.6°C,-1.8°C,✅ DOĞRULANDI
18-02-2015,-7.3°C,-6.9°C,✅ DOĞRULANDI
21-02-2015,-7.6°C,-8.4°C,✅ DOĞRULANDI
22-02-2015,-11.0°C,-9.8°C,✅ DOĞRULANDI
03-03-2015,-1.1°C,-0.1°C,✅ DOĞRULANDI
04-03-2015,-1.1°C,-1.4°C,✅ DOĞRULANDI
05-03-2015,-3.4°C,-3.1°C,✅ DOĞRULANDI
06-03-2015,-2.3°C,-4.0°C,✅ DOĞRULANDI
17-03-2015,-0.4°C,-1.4°C,✅ DOĞRULANDI
18-03-2015,-4.1°C,-3.4°C,✅ DOĞRULANDI
20-03-2015,-0.5°C,-2.7°C,✅ DOĞRULANDI
21-03-2015,-2.3°C,-2.8°C,✅ DOĞRULANDI
23-03-2015,-2.0°C,-2.1°C,✅ DOĞRULANDI
25-03-2015,-1.8°C,-1.8°C,✅ DOĞRULANDI
04-04-2015,-0.1°C,-0.7°C,✅ DOĞRULANDI
05-04-2015,-1.4°C,-3.2°C,✅ DOĞRULANDI
11-04-2015,-2.0°C,-3.8°C,✅ DOĞRULANDI
14-04-2015,-1.8°C,-0.8°C,✅ DOĞRULANDI
