Tarih,Gerçek_MGM,Hatalı_Tahmin,Hata_Payı,Durum
24-11-2024,-3.2°C,3.5°C,6.7°C,❌ RİSKLİ HATA
27-11-2023,-2.0°C,4.5°C,6.5°C,❌ RİSKLİ HATA
16-03-2020,-1.0°C,4.7°C,5.7°C,❌ RİSKLİ HATA
06-01-2024,-3.8°C,1.2°C,5.0°C,❌ RİSKLİ HATA
26-12-2018,-4.0°C,0.9°C,4.9°C,❌ RİSKLİ HATA
20-12-2020,-4.2°C,0.6°C,4.8°C,❌ RİSKLİ HATA
23-10-2022,-2.0°C,2.7°C,4.7°C,❌ RİSKLİ HATA
29-03-2023,-1.0°C,3.6°C,4.6°C,❌ RİSKLİ HATA
07-02-2024,-3.0°C,1.5°C,4.5°C,❌ RİSKLİ HATA
09-12-2020,-3.4°C,1.0°C,4.4°C,❌ RİSKLİ HATA
24-03-2019,-3.0°C,1.3°C,4.3°C,❌ RİSKLİ HATA
22-02-2018,-1.4°C,2.7°C,4.1°C,❌ RİSKLİ HATA
13-11-2020,-2.1°C,2.0°C,4.1°C,❌ RİSKLİ HATA
03-11-2019,-2.4°C,1.7°C,4.1°C,❌ RİSKLİ HATA
04-04-2019,-0.4°C,3.7°C,4.1°C,❌ RİSKLİ HATA
19-12-2020,-1.0°C,2.9°C,3.9°C,❌ RİSKLİ HATA
05-11-2015,-1.8°C,2.0°C,3.8°C,❌ RİSKLİ HATA
20-03-2024,-0.6°C,3.1°C,3.7°C,❌ RİSKLİ HATA
10-02-2021,-1.1°C,2.5°C,3.6°C,❌ RİSKLİ HATA
13-11-2024,-0.5°C,3.0°C,3.5°C,❌ RİSKLİ HATA
15-11-2015,-0.4°C,3.1°C,3.5°C,❌ RİSKLİ HATA
17-11-2023,-0.6°C,2.9°C,3.5°C,❌ RİSKLİ HATA
06-12-2021,-1.3°C,2.2°C,3.5°C,❌ RİSKLİ HATA
14-12-2023,-2.6°C,0.8°C,3.4°C,❌ RİSKLİ HATA
20-10-2024,-0.4°C,2.9°C,3.3°C,❌ RİSKLİ HATA
18-01-2024,-1.5°C,1.8°C,3.3°C,❌ RİSKLİ HATA
18-11-2015,-1.6°C,1.7°C,3.3°C,❌ RİSKLİ HATA
26-02-2016,-0.4°C,2.8°C,3.2°C,❌ RİSKLİ HATA
06-02-2018,-0.8°C,2.3°C,3.1°C,❌ RİSKLİ HATA
10-12-2023,-1.0°C,2.1°C,3.1°C,❌ RİSKLİ HATA
05-03-2017,-2.2°C,0.9°C,3.1°C,❌ RİSKLİ HATA
25-12-2023,-1.5°C,1.6°C,3.1°C,❌ RİSKLİ HATA
25-11-2017,-2.1°C,1.0°C,3.1°C,❌ RİSKLİ HATA
15-11-2022,-2.0°C,1.0°C,3.0°C,❌ RİSKLİ HATA
11-11-2022,-0.1°C,2.9°C,3.0°C,❌ RİSKLİ HATA
03-11-2015,-0.4°C,2.5°C,2.9°C,❌ RİSKLİ HATA
18-12-2022,-1.7°C,1.2°C,2.9°C,❌ RİSKLİ HATA
01-03-2016,-0.5°C,2.4°C,2.9°C,❌ RİSKLİ HATA
11-03-2020,-0.7°C,2.2°C,2.9°C,❌ RİSKLİ HATA
26-11-2018,-1.8°C,1.0°C,2.8°C,❌ RİSKLİ HATA
10-03-2018,-0.2°C,2.6°C,2.8°C,❌ RİSKLİ HATA
01-04-2015,-0.5°C,2.2°C,2.7°C,❌ RİSKLİ HATA
31-03-2018,-1.2°C,1.5°C,2.7°C,❌ RİSKLİ HATA
04-04-2020,-1.2°C,1.5°C,2.7°C,❌ RİSKLİ HATA
22-11-2021,-2.0°C,0.6°C,2.6°C,❌ RİSKLİ HATA
03-03-2015,-1.1°C,1.5°C,2.6°C,❌ RİSKLİ HATA
12-01-2016,-1.6°C,1.0°C,2.6°C,❌ RİSKLİ HATA
08-03-2016,-1.2°C,1.4°C,2.6°C,❌ RİSKLİ HATA
22-12-2018,-2.0°C,0.6°C,2.6°C,❌ RİSKLİ HATA
06-02-2021,-1.6°C,0.9°C,2.5°C,❌ RİSKLİ HATA
12-11-2022,-0.6°C,1.9°C,2.5°C,❌ RİSKLİ HATA
14-04-2015,-1.8°C,0.7°C,2.5°C,❌ RİSKLİ HATA
22-11-2020,-0.9°C,1.6°C,2.5°C,❌ RİSKLİ HATA
23-02-2022,-0.5°C,2.0°C,2.5°C,❌ RİSKLİ HATA
25-02-2022,-1.0°C,1.4°C,2.4°C,❌ RİSKLİ HATA
09-11-2017,-0.6°C,1.8°C,2.4°C,❌ RİSKLİ HATA
24-04-2017,-0.3°C,2.1°C,2.4°C,❌ RİSKLİ HATA
14-01-2016,-0.5°C,1.9°C,2.4°C,❌ RİSKLİ HATA
13-01-2018,-0.6°C,1.7°C,2.3°C,❌ RİSKLİ HATA
23-03-2019,-0.5°C,1.8°C,2.3°C,❌ RİSKLİ HATA
05-03-2024,-1.2°C,1.1°C,2.3°C,❌ RİSKLİ HATA
08-04-2023,-0.1°C,2.2°C,2.3°C,❌ RİSKLİ HATA
24-12-2017,-1.3°C,0.9°C,2.2°C,❌ RİSKLİ HATA
24-02-2018,-0.7°C,1.5°C,2.2°C,❌ RİSKLİ HATA
