Tarih,MGM_İstasyon (Gerçek),AgroFrost_Tarla (Tahmin),Fark,Durum
28-03-2000,3.0°C,-1.2°C,4.2°C,⚠️ GİZLİ DON YAKALANDI
11-04-2000,1.3°C,-1.3°C,2.6°C,⚠️ GİZLİ DON YAKALANDI
21-10-2000,3.4°C,-0.5°C,3.9°C,⚠️ GİZLİ DON YAKALANDI
24-10-2000,2.2°C,-0.1°C,2.3°C,⚠️ GİZLİ DON YAKALANDI
03-11-2000,0.6°C,-1.3°C,1.9°C,⚠️ GİZLİ DON YAKALANDI
04-11-2000,1.9°C,-1.1°C,3.0°C,⚠️ GİZLİ DON YAKALANDI
07-11-2000,4.6°C,-0.1°C,4.7°C,⚠️ GİZLİ DON YAKALANDI
21-11-2000,1.7°C,-2.9°C,4.6°C,⚠️ GİZLİ DON YAKALANDI
27-11-2000,3.1°C,-3.2°C,6.3°C,⚠️ GİZLİ DON YAKALANDI
28-11-2000,4.4°C,-0.4°C,4.8°C,⚠️ GİZLİ DON YAKALANDI
29-11-2000,5.2°C,-0.9°C,6.1°C,⚠️ GİZLİ DON YAKALANDI
13-12-2000,1.0°C,-4.5°C,5.5°C,⚠️ GİZLİ DON YAKALANDI
17-12-2000,3.5°C,-2.0°C,5.5°C,⚠️ GİZLİ DON YAKALANDI
01-01-2001,0.6°C,-2.3°C,2.9°C,⚠️ GİZLİ DON YAKALANDI
02-01-2001,0.8°C,-2.1°C,2.9°C,⚠️ GİZLİ DON YAKALANDI
10-01-2001,1.8°C,-3.0°C,4.8°C,⚠️ GİZLİ DON YAKALANDI
17-01-2001,1.0°C,-3.6°C,4.6°C,⚠️ GİZLİ DON YAKALANDI
02-02-2001,1.4°C,-3.8°C,5.2°C,⚠️ GİZLİ DON YAKALANDI
25-02-2001,1.4°C,-0.8°C,2.2°C,⚠️ GİZLİ DON YAKALANDI
26-02-2001,2.8°C,-0.3°C,3.1°C,⚠️ GİZLİ DON YAKALANDI
27-02-2001,1.5°C,-0.2°C,1.7°C,⚠️ GİZLİ DON YAKALANDI
01-03-2001,4.0°C,-0.2°C,4.2°C,⚠️ GİZLİ DON YAKALANDI
12-03-2001,1.8°C,-1.0°C,2.8°C,⚠️ GİZLİ DON YAKALANDI
14-03-2001,3.9°C,-0.7°C,4.7°C,⚠️ GİZLİ DON YAKALANDI
01-11-2001,2.9°C,-1.2°C,4.1°C,⚠️ GİZLİ DON YAKALANDI
08-11-2001,1.0°C,-0.2°C,1.2°C,⚠️ GİZLİ DON YAKALANDI
25-11-2001,1.3°C,-3.8°C,5.1°C,⚠️ GİZLİ DON YAKALANDI
28-11-2001,0.6°C,-3.7°C,4.3°C,⚠️ GİZLİ DON YAKALANDI
29-11-2001,0.6°C,-1.4°C,2.1°C,⚠️ GİZLİ DON YAKALANDI
30-11-2001,0.7°C,-1.8°C,2.5°C,⚠️ GİZLİ DON YAKALANDI
01-12-2001,0.7°C,-1.4°C,2.1°C,⚠️ GİZLİ DON YAKALANDI
02-12-2001,2.8°C,-1.1°C,3.9°C,⚠️ GİZLİ DON YAKALANDI
03-12-2001,3.6°C,-0.2°C,3.8°C,⚠️ GİZLİ DON YAKALANDI
06-12-2001,2.0°C,-1.0°C,3.0°C,⚠️ GİZLİ DON YAKALANDI
08-12-2001,2.0°C,-3.1°C,5.1°C,⚠️ GİZLİ DON YAKALANDI
09-12-2001,0.6°C,-0.9°C,1.5°C,⚠️ GİZLİ DON YAKALANDI
17-12-2001,1.8°C,-6.5°C,8.3°C,⚠️ GİZLİ DON YAKALANDI
25-12-2001,2.6°C,-2.6°C,5.2°C,⚠️ GİZLİ DON YAKALANDI
28-12-2001,3.4°C,-2.2°C,5.6°C,⚠️ GİZLİ DON YAKALANDI
11-02-2002,1.8°C,-2.1°C,3.9°C,⚠️ GİZLİ DON YAKALANDI
